src_type,src_id,dst_type,dst_id,edge_type
class_node,190,class_node,190,selfLoop
attribute_node,23,attribute_node,23,selfLoop
class_node,66,class_node,66,selfLoop
attribute_node,613,attribute_node,613,selfLoop
attribute_node,831,attribute_node,831,selfLoop
value_node,339,value_node,339,selfLoop
class_node,490,class_node,490,selfLoop
attribute_node,687,attribute_node,687,selfLoop
type_node,268,type_node,268,selfLoop
attribute_node,41,attribute_node,41,selfLoop
attribute_node,509,attribute_node,509,selfLoop
attribute_node,598,attribute_node,598,selfLoop
attribute_node,787,attribute_node,787,selfLoop
value_node,497,value_node,497,selfLoop
class_node,12,class_node,12,selfLoop
attribute_node,280,attribute_node,280,selfLoop
attribute_node,519,attribute_node,519,selfLoop
class_node,348,class_node,348,selfLoop
attribute_node,858,attribute_node,858,selfLoop
class_node,160,class_node,160,selfLoop
type_node,20,type_node,20,selfLoop
type_node,39,type_node,39,selfLoop
type_node,122,type_node,122,selfLoop
value_node,483,value_node,483,selfLoop
type_node,368,type_node,368,selfLoop
type_node,114,type_node,114,selfLoop
attribute_node,244,attribute_node,244,selfLoop
type_node,33,type_node,33,selfLoop
value_node,873,value_node,873,selfLoop
value_node,84,value_node,84,selfLoop
attribute_node,539,attribute_node,539,selfLoop
class_node,627,class_node,627,selfLoop
value_node,1124,value_node,1124,selfLoop
class_node,83,class_node,83,selfLoop
class_node,593,class_node,593,selfLoop
type_node,249,type_node,249,selfLoop
class_node,707,class_node,707,selfLoop
type_node,193,type_node,193,selfLoop
value_node,648,value_node,648,selfLoop
value_node,262,value_node,262,selfLoop
value_node,539,value_node,539,selfLoop
type_node,123,type_node,123,selfLoop
class_node,112,class_node,112,selfLoop
value_node,128,value_node,128,selfLoop
value_node,1174,value_node,1174,selfLoop
class_node,161,class_node,161,selfLoop
value_node,164,value_node,164,selfLoop
value_node,1153,value_node,1153,selfLoop
type_node,5,type_node,5,selfLoop
class_node,135,class_node,135,selfLoop
class_node,738,class_node,738,selfLoop
value_node,1158,value_node,1158,selfLoop
class_node,152,class_node,152,selfLoop
value_node,653,value_node,653,selfLoop
type_node,188,type_node,188,selfLoop
attribute_node,367,attribute_node,367,selfLoop
value_node,862,value_node,862,selfLoop
value_node,418,value_node,418,selfLoop
value_node,476,value_node,476,selfLoop
value_node,769,value_node,769,selfLoop
attribute_node,829,attribute_node,829,selfLoop
attribute_node,113,attribute_node,113,selfLoop
value_node,628,value_node,628,selfLoop
value_node,1181,value_node,1181,selfLoop
value_node,713,value_node,713,selfLoop
value_node,717,value_node,717,selfLoop
class_node,419,class_node,419,selfLoop
value_node,1004,value_node,1004,selfLoop
class_node,380,class_node,380,selfLoop
class_node,532,class_node,532,selfLoop
value_node,1025,value_node,1025,selfLoop
attribute_node,410,attribute_node,410,selfLoop
attribute_node,802,attribute_node,802,selfLoop
value_node,990,value_node,990,selfLoop
attribute_node,200,attribute_node,200,selfLoop
class_node,752,class_node,752,selfLoop
value_node,142,value_node,142,selfLoop
value_node,656,value_node,656,selfLoop
